epoch,rn50,vits,swint,mixer,gmlp
0,0.156,0.31,0.32,0.1,0.1
1,3.658,1.914,2.168,0.406,0.791999998
2,6.326,3.752,4.934,2.328,3.563999985
3,10.714,4.97,7.294,5.244,8.544000008
4,15.47,6.784,1.45,8.87,13.68600002
5,20.386,9.396,9.972,11.772,17.47599999
6,24.84,13.012,13.91,15.344,21.904
7,29.258,16.334,17.9,18.438,25.30400009
8,31.054,19.338,21.708,21.866,28.21399999
9,34.782,21.858,24.832,24.032,31.042
10,37.31,24.132,27.748,26.084,32.78200005
11,38.202,26.492,31.444,27.472,35.02399998
12,40.164,27.548,33.266,29.838,36.15000002
13,41.63,30.048,35.772,31.168,37.98199996
14,42.174,31.646,38.164,32.68,39.12999995
15,43.684,32.918,40.542,34.182,40.32199992
16,44.808,34.992,41.092,35.796,41.55600004
17,45.292,34.872,42.19,36.394,42.73799991
18,45.31,36.028,43.756,37.17,43.73799996
19,45.278,37.37,44.984,38.07,44.28399999
20,46.654,38.006,46.186,38.756,44.99400007
21,48.294,39.038,46.936,40.392,45.74800012
22,45.568,39.866,47.686,40.17,46.66200009
23,47.84,40.532,49.082,41.784,46.93799993
24,48.322,40.874,49.254,41.546,47.60599995
25,47.528,41.99,50.302,42.492,47.60200005
26,49.208,42.09,50.648,41.976,48.56800003
27,49.884,42.752,51.142,43.112,48.94800002
28,48.442,43.56,51.668,43.694,49.032
29,49.7,44.042,51.76,44.504,49.78800003
30,49.292,44.156,53.058,44.632,49.68600004
31,49.502,44.754,52.854,45.36,49.80000005
32,48.212,45.328,52.38,45.454,50.69599998
33,50.05,45.118,53.32,45.67,50.46000009
34,50.088,46.112,53.056,46.432,50.89200008
35,49.39,46.618,54.284,46.138,51.36600002
36,50.82,46.59,54.5,45.74,51.11800002
37,51.466,46.98,54.722,46.834,52.00000005
38,51.2,47.604,55.256,47.412,52.326
39,51.302,47.6,54.88,47.87,52.59999993
40,51.596,47.712,55.488,47.8,51.94000005
41,51.082,47.954,55.244,48.142,52.80600005
42,52.696,48.476,55.854,48.716,53.04600005
43,51.522,48.822,55.83,48.166,53.236
44,51.886,49.428,56.634,48.75,53.41999996
45,52.344,49.38,56.29,48.576,54.20400002
46,52.234,49.296,56.97,48.598,54.07800011
47,48.124,49.9,57.138,49.314,53.78599999
48,51.34,50.072,56.714,49.816,54.09599998
49,50.604,50.108,56.718,49.094,54.95400001
50,53.752,50.336,57.34,49.48,54.25000008
51,50.608,50.644,57.388,49.996,54.89599999
52,52.64,50.908,56.928,50.286,54.28399994
53,53.066,51.038,57.742,49.872,54.38800009
54,52.178,51.562,57.988,50.324,54.74199994
55,53.006,52.1,57.822,49.874,54.98400013
56,51.984,51.984,58.024,50.652,55.25599995
57,52.38,52.316,58.43,50.332,55.62000013
58,52.81,52.66,58.324,50.87,55.55599998
59,53.436,52.676,58.652,51.608,56.27400003
60,52.044,52.694,58.572,51.402,55.76400004
61,53.294,52.726,58.926,51.35,55.98599999
62,52.476,53.114,58.908,51.522,56.17399989
63,53.42,53.424,59.438,51.668,56.00199998
64,54.398,53.184,59.328,51.48,55.71199997
65,53.202,52.978,58.81,51.622,56.64199995
66,53.648,53.932,59.236,52.022,56.68800006
67,53.714,54.038,58.866,52.308,56.48400008
68,54.182,54.59,59.684,52.336,57.07999998
69,54.738,54.302,59.404,53.112,57.288
70,54.038,54.808,60.122,52.964,57.05799992
71,52.99,54.632,60.234,52.694,57.34599997
72,53.75,54.588,59.606,52.574,56.72000001
73,54.512,54.23,59.176,52.222,57.24000008
74,53.916,55.152,59.882,52.828,57.43800008
75,55.336,55.444,59.366,52.938,57.62399999
76,55.512,54.918,60.198,53.598,57.29399999
77,55.078,54.79,60.58,53.49,57.39199997
78,54.594,55.548,59.96,53.816,58.24400003
79,55.078,54.724,60.436,54.21,57.39
80,55.334,55.386,60.46,53.54,57.52599997
81,55.736,55.732,60.156,53.084,58.27799992
82,53.89,55.518,60.27,54.15,57.89000003
83,53.74,56.29,60.166,54.016,58.15800012
84,55.016,56.416,60.186,53.858,58.00200008
85,53.766,55.806,60.396,54.044,58.48199993
86,54.788,55.992,60.118,53.65,58.312
87,54.628,56.308,61.2,54.17,58.51200009
88,54.556,56.116,60.578,53.242,58.69599993
89,55.522,56.496,60.734,54.294,58.70000002
90,55.238,56.202,60.694,54.14,59.0400001
91,56.036,56.668,61.518,54.226,58.3760001
92,55.872,57.2,61,54.184,59.40599989
93,54.312,56.81,60.832,54.104,58.78399998
94,56.022,56.816,61.086,54.8,59.2960001
95,56.38,57.08,61.074,54.854,59.28199989
96,55.348,56.832,60.548,54.462,59.21200001
97,56.306,57.362,61.41,55.058,59.09200002
98,55.396,57.16,61.406,55.126,59.58400002
99,56.322,57.532,61.486,54.884,59.32400007
100,56.704,57.344,61.056,55.262,59.55000001
101,56.066,57.594,61.542,55.596,59.59600002
102,56.196,57.49,61.432,54.14,59.45200008
103,56.284,57.848,61.564,55.572,59.96999998
104,54.846,58.342,61.89,55.698,60.29999998
105,55.17,58.172,61.106,55.478,60.01799995
106,56.484,58.102,61.132,54.604,60.15400007
107,56.652,57.796,61.942,55.778,60.14600005
108,57.264,58.402,62.11,54.616,60.21199995
109,55.382,57.876,61.868,55.026,59.81000006
110,56.726,57.906,62.064,55.19,60.2760001
111,57.004,58.214,62.058,55.13,60.87
112,57.314,58.39,61.91,56.27,60.30000001
113,56.098,58.774,61.854,56.042,60.60800001
114,56.172,58.36,61.852,55.18,60.484
115,57.42,58.632,61.796,55.516,60.90399998
116,56.57,58.786,62.334,54.956,61.07600007
117,57.454,58.704,61.994,55.976,60.91399995
118,57.018,58.53,61.93,56.186,61.03200009
119,57.91,58.882,61.99,55.574,61.34399999
120,57.94,59.204,62.262,56.152,60.97600001
121,54.298,58.812,61.928,55.88,60.57000001
122,55.264,58.876,62.138,56.35,61.25600018
123,57.252,59.176,62.296,55.746,61.39000008
124,56.036,59.364,62.89,56.456,61.70599992
125,57.296,59.73,62.194,56.084,61.6320001
126,57.92,59.664,62.234,56.714,61.16600014
127,56.974,59.258,63.12,56.146,61.67400004
128,58.03,58.87,62.236,55.696,61.58400004
129,57.14,59.406,62.498,56.43,61.80000001
130,57.622,59.788,62.72,56.432,61.9880001
131,57.62,59.73,63.108,56.342,62.09600009
132,58.54,59.35,62.804,56.368,61.86200002
133,56.984,59.832,62.39,56.036,61.80399989
134,56.746,59.778,62.598,55.884,61.58000002
135,57.958,60.142,62.87,56.564,62.49400002
136,58.57,60.344,63.236,57.194,62.14200025
137,57.7,60.554,62.876,55.874,62.23200007
138,58.162,60.444,63.114,55.452,62.19400004
139,58.604,60.594,62.566,56.148,62.49000003
140,58.174,60.454,62.36,56.904,62.32400007
141,59.174,60.436,62.866,56.452,62.29600016
142,57.6,60.466,62.934,56.682,62.72200001
143,56.906,59.724,62.69,56.04,62.398
144,57.938,60.47,63.042,56.582,62.71600005
145,58.558,60.734,62.648,56.462,62.35800002
146,59.194,60.776,62.966,56.55,62.73400001
147,57.606,60.916,62.688,56.008,62.02599998
148,57.846,61.078,63.25,56.812,62.65000003
149,58.122,60.64,62.474,56.386,62.45
150,59.756,61.314,63.442,56.546,62.96800006
151,59.414,60.224,62.79,55.948,63.08600003
152,57.782,60.898,63.336,56.458,62.87399996
153,59.286,61.258,63.112,56.596,63.07399999
154,58.74,60.852,62.584,55.516,62.96400015
155,58.752,60.56,62.93,56.272,63.26199997
156,58.772,60.944,63.478,56.542,63.18400006
157,59.418,61.04,62.568,56.028,63.50199987
158,57.296,62.05,63.192,56.154,63.74599991
159,59.396,61.566,63.536,56.378,63.54800002
160,59.922,61.428,62.808,56.948,63.80200002
161,60.08,62.128,63.68,55.772,63.86400004
162,58.9,61.272,62.234,55.494,63.41200018
163,59.754,61.08,63.094,54.922,63.48599999
164,59.086,61.594,63.094,56.02,63.79600009
165,59.142,61.358,62.768,55.948,63.42200005
166,60.006,61.922,62.894,55.69,63.788
167,60.7,61.756,63.068,55.442,64.30600001
168,59.814,62.134,63.326,56.41,63.81200011
169,59.682,61.782,63.024,56.466,64.45799998
170,59.646,61.462,62.546,56.014,63.75600001
171,59.424,62.152,62.888,56.29,63.94199995
172,60.896,62.26,63.676,56.078,64.52400006
173,60.576,62.252,62.906,55.57,64.30400004
174,60.268,61.79,62.984,55.494,64.72200007
175,59.248,61.946,62.558,54.74,64.36399996
176,60.13,62.16,63.316,55.518,64.28600007
177,59.074,61.806,62.942,55.712,64.61199997
178,60.328,61.826,62.474,55.328,64.65400001
179,60.754,62.6,62.68,54.82,64.93399997
180,60.008,62.106,62.392,54.662,64.90800007
181,59.518,62.018,62.728,53.94,64.56999999
182,59.58,62.298,62.126,55.016,65.09800001
183,60.296,62.092,62.926,54.954,64.73200002
184,60.134,62.082,62.944,55.162,64.98399997
185,60.992,62.576,63.166,54.02,65.27200006
186,60.756,62.294,63.082,53.472,64.97200009
187,60.414,62.114,62.512,53.83,65.016
188,61.086,62.306,62.54,55.212,65.45200007
189,61.142,62.162,62.178,54.654,65.372
190,60.154,62.476,62.58,54.314,65.30200012
191,60.542,62.076,62.466,54.658,65.358
192,59.936,62.05,62.418,54.21,65.18400001
193,61.628,62.73,62.548,53.088,65.43200007
194,60.944,62.87,62.142,54.128,64.98000004
195,60.682,61.95,62.146,53.654,65.18400003
196,60.724,62.266,61.528,52.902,65.58400015
197,60.398,62.388,62.276,52.944,65.56200005
198,61.494,62.26,61.632,52.482,65.47000004
199,61.716,62.186,61.262,52.78,65.0640001
200,61.37,62.096,61.712,53.366,65.56399999
201,61.346,62.366,61.492,52.736,65.50200002
202,61.364,62.198,61.4,51.952,65.63399994
203,60.634,62.332,61.852,53.842,65.87000014
204,61.496,62.092,61.694,52.618,65.69799998
205,62.168,61.8,61.564,53.886,65.9619999
206,60.972,61.808,61.006,51.956,65.532
207,61.608,61.93,60.686,51.65,65.67400007
208,61.65,61.908,61.182,52.888,66.06599999
209,61.932,62.554,60.996,51.788,65.58799988
210,61.866,62.55,61.384,52.278,65.98200007
211,61.39,62.014,61.532,51.726,65.79000001
212,61.92,61.714,60.814,51.036,66.06200002
213,61.36,61.624,60.56,51.588,65.86800002
214,61.3,61.31,60.6,51.04,65.56399991
215,61.564,61.518,61.05,50.624,66.21399989
216,62.404,61.888,60.888,51.46,66.26399996
217,61.958,62.336,60.546,50.808,66.14600001
218,62.17,61.776,60.806,50.332,66.27799997
219,62.72,62.31,60.318,49.834,66.61999999
220,61.96,61.924,60.552,50.254,66.47400007
221,62.288,61.72,59.838,48.994,65.84600002
222,62.168,61.092,59.646,49.47,66.02999997
223,62.22,61.608,59.866,50.878,66.10000004
224,62.07,61.856,59,49.054,65.9520001
225,62.406,61.158,59.786,49.408,65.99999999
226,62.196,61.66,59.676,49.374,66.1120001
227,61.776,61.028,59.338,50.168,66.21800002
228,62.662,61.518,59.488,49.528,66.1440001
229,62.57,61.324,58.66,48.902,66.10599991
230,62.41,61.344,58.952,49.042,66.3560001
231,62.196,61.098,59.03,48.734,66.18200002
232,62.348,60.716,58.686,47.974,65.92599998
233,62.252,60.678,58.702,48.834,66.24200017
234,62.448,61.382,58.224,48.2,66.29000002
235,62.658,61.12,58.834,48.934,66.368
236,62.326,60.52,58.064,48.23,66.26800003
237,62.444,60.698,58.416,47.908,66.1460001
238,62.676,61.082,58.18,48.064,66.48600007
239,62.562,60.308,57.864,47.688,65.90200013
240,62.986,61.178,57.878,47.568,65.92199998
241,62.764,61.016,57.818,47.21,65.99199997
242,62.506,60.33,57.172,48.08,65.97400008
243,62.508,59.93,57.136,46.906,66.00400006
244,62.946,60.542,57.022,47.174,66.614
245,62.852,60.462,57.008,47.396,66.24199992
246,62.948,60.438,56.724,47.01,66.19200005
247,62.97,60.406,56.496,46.528,66.12999998
248,62.518,60.316,57.088,47.104,66.09399998
249,63.146,60.424,57.226,46.528,66.25200003
250,63.014,59.858,57.212,46.652,65.93799998
251,63.01,60.298,56.966,46.67,65.70200008
252,62.878,59.97,56.32,47.02,66.25400006
253,62.684,59.936,56.72,46.142,66.29799998
254,62.93,59.57,56.02,46.806,65.67800003
255,63.054,59.896,56.662,45.944,65.95400013
256,63.282,59.584,55.822,45.894,65.87999997
257,63.096,60.058,56.076,46.344,65.97200005
258,62.66,59.382,55.894,44.814,66.20599992
259,63.35,59.678,55.912,46.058,65.81600001
260,63.082,59.442,56.024,44.974,65.76200003
261,63.03,59.722,55.902,45.372,65.68200001
262,62.968,59.45,55.564,45.152,66.066
263,62.958,59.476,55.554,45.28,66.04799995
264,63.152,59.648,55.636,45.444,66.15200011
265,62.908,58.902,54.68,44.516,65.89600013
266,62.84,59.32,54.76,45.19,65.76599998
267,62.958,59.308,55.064,44.766,65.96400006
268,63.222,59.54,54.948,44.474,65.74200003
269,63.126,59.23,55.13,45.192,65.76599988
270,62.844,59.08,54.684,44.982,65.65799999
271,63.022,58.862,54.57,44.334,65.78800001
272,62.964,59.082,54.672,44.918,65.81000011
273,63.072,59.184,54.566,45.28,65.83199996
274,63.202,58.978,54.556,45.096,65.71400006
275,63.298,59.03,54.348,44.716,65.80799998
276,63.064,59,54.558,44.79,65.86600009
277,63.098,58.892,54.412,44.536,65.87800006
278,63.176,58.89,54.356,44.804,65.534
279,63.09,58.694,54.418,44.62,65.62000003
280,63.12,58.924,54.68,44.566,65.62399993
281,63.208,58.714,54.202,44.564,65.60799988
282,63.154,58.986,54.084,44.618,65.50399998
283,63.238,59.014,54.268,44.916,65.63799996
284,63.13,58.57,54.442,44.738,65.54999996
285,63.198,58.826,54.236,44.684,65.51600006
286,63.192,58.76,54.116,44.618,65.67200001
287,63.268,58.69,54.224,44.244,65.57399996
288,63.07,58.584,53.956,44.458,65.47800001
289,63.096,58.752,54.018,44.684,65.48400001
290,63.158,58.7,54.19,44.536,65.55400001
291,63.14,58.76,54.158,44.452,65.43600004
292,63.148,58.796,53.908,44.6,65.52399996
293,63.188,58.734,54.07,44.452,65.48400004
294,63.162,58.674,54.028,44.54,65.51000004
295,63.216,58.728,54.02,44.458,65.53000001
296,63.266,58.57,54.062,44.44,65.49399996
297,63.164,58.634,54.002,44.472,65.47200001
298,63.258,58.668,54.024,44.45,65.45799996
299,63.18,58.744,53.96,44.432,65.46799996
